,code,text,label
14780,43685-7,"Reevaluate if insomnia persists after 7 to 10 days of use (5.1)Severe anaphylactic and anaphylactoid reactions have been reported (5.2)Abnormal thinking, behavior changes and complex behaviors such as sleep-driving have been reported (5.3)Pediatric patients with attention-deficit/hyperactivity disorder (ADHD): Hallucinations (7.4%) and other psychiatric and /or nervous system adverse events were observed frequently (5.6,8.4)Depression: Worsening of depression or, suicidal thinking may occur.",0
14781,43685-7,"Prescribe the least amount feasible to avoid intentional overdose (5.3,5.6)Withdrawal symptoms may occur with rapid dose reduction or discontinuation (5.4)CNS depressant effects, additive effects with CNS depressants (2.3, 5.5)Potential impairment of activities requiring complete mental alertness such as operating machinery or driving a motor vehicle, after ingesting the drug and the following day (5.5)Additive effects with alcohol; should not be taken with alcohol (5.5)Elderly/debilitated patients: Impaired motor, cognitive performance after repeated exposure, increased sensitivity (2.2, 5.6)Caution advised in patients with hepatic impairment, mild to moderate COPD, impaired drug metabolism or hemodynamic responses, mild to moderate sleep apnea (5.6)",0
20843,43685-7,"Myocardial infarction, cerebrovascular spasm, and cerebrovascular occlusion have been reported to occur following the intravenous or intramuscular administration of phentolamine, usually in association with marked hypotensive episodes or shock-like states which occasionally follow parenteral administration.",0
20844,43685-7,Tachycardia and cardiac arrhythmias may occur with the use of phentolamine or other alpha-adrenergic blocking agents.,0
20845,43685-7,( 5.1),0
21058,43685-7,Suicidality: Monitor for clinical worsening and suicide risk.,0
21059,43685-7,(5.1)Monoamine Oxidase Inhibitors (MAOIs): Serious interactions possible.,0
21060,43685-7,Concomitant use contraindicated.,0
21061,43685-7,Avoidance of MAOIs recommended for at least 14 days before starting venlafaxine.,0
21062,43685-7,A MAOI should not be started within 7 days after stopping venlafaxine.,0
21063,43685-7,"(5.2)Serotonin syndrome possible, in particular when combined with other serotonergic drugs or inhibitors of serotonin metabolism.",0
21064,43685-7,(5.3)Sustained hypertension may occur.,0
21065,43685-7,Blood pressure monitoring recommended.,0
21066,43685-7,(5.4)Mydriasis may occur.,0
21067,43685-7,Patients with raised intraocular pressure or those at risk of acute narrow-angle glaucoma should be monitored.,0
21068,43685-7,(5.5)Abrupt discontinuation or dose reduction: Discontinuation symptoms may occur (generally self-limiting; serious symptoms possible).,0
21069,43685-7,Dose reduction recommended to be gradual.,0
21070,43685-7,(5.6)Activation of Mania/Hypomania has occurred.,0
21071,43685-7,(5.11)Symptomatic hyponatremia may occur.,0
21072,43685-7,(5.12)Seizures have been reported.,0
21073,43685-7,Use with caution in patients with seizure history.,0
21074,43685-7,(5.13)Abnormal bleeding (most commonly ecchymosis) has been reported.,0
21075,43685-7,(5.14)Serum cholesterol: Clinically relevant cholesterol increases may occur.,0
21076,43685-7,Cholesterol measurements should be considered during long-term therapy.,0
21077,43685-7,(5.15)Interstitial lung disease and eosinophilic pneumonia have been reported.,0
21078,43685-7,(5.16),0
22184,43685-7,Do not use around the eyes.,0
22185,43685-7,"Do not use Zingo™ on body orifices, mucous membranes, or on areas with a compromised skin barrier.",0
22186,43685-7,Only use Zingo™ on skin locations where an adequate seal can be maintained.,0
22187,43685-7,"Patients with severe hepatic disease or pseudocholinesterase deficiency, because of their inability to metabolize local anesthetics normally, are at a greater risk of developing toxic plasma concentrations of lidocaine.",0
22188,43685-7,Patients with bleeding tendencies or platelet disorders could have a higher risk of superficial dermal bleeding.,0
22985,43685-7,"If the following occur - discontinue Oncaspar®: Anaphylaxis or serious allergic reactions (5.1) Thrombosis (5.2) Pancreatitis (5.3)Glucose intolerance, in some cases irreversible, can occur (5.4)Coagulopathy can occur.",0
22986,43685-7,Perform appropriate monitoring.,0
22987,43685-7,(5.5),0
24146,43685-7,"At the first sign of Soman poisoning pyridostigmine must be stopped, atropine and 2-PAM must be administered immediately.",0
24147,43685-7,"(5.1)Use with caution in persons with increased risk of anticholinergic reactions, such as persons with bronchial asthma, chronic obstructive pulmonary disease, bradycardia, cardiac arrhythmias, beta blocker treatment (increased risk of anticholinergic reactions).",0
24148,43685-7,(5.2)Use with caution in persons with bromide sensitivity.,0
24149,43685-7,"(5.3)In case of serious adverse reactions, advise personnel to temporarily discontinue pyridostigmine and seek immediate medical attention.",0
24150,43685-7,(5.4),0
24813,43685-7,Need to evaluate for co-morbid diagnosis: Reevaluate if insomnia persists after 7 to 10 days of use (5.1) Severe anaphylactic/anaphylactoid reactions: Angioedema and anaphylaxis have been reported.,0
24814,43685-7,Do not rechallenge if such reactions occur.,0
24815,43685-7,"(5.2) Abnormal thinking, behavioral changes and complex behaviors: May include “sleep-driving” and hallucinations.",0
24816,43685-7,Immediately evaluate any new onset behavioral changes.,0
24817,43685-7,"(5.3) Depression: Worsening of depression or, suicidal thinking may occur.",0
24818,43685-7,"Prescribe the least amount feasible to avoid intentional overdose (5.3, 5.6) Withdrawal effects: Symptoms may occur with rapid dose reduction or discontinuation (5.4, 9.3) CNS depressant effects: Use can impair alertness and motor coordination.",0
24819,43685-7,"If used in combination with other CNS depressants, dose reductions may be needed due to additive effects.",0
24820,43685-7,"Do not use with alcohol (2.3, 5.5) Elderly/debilitated patients: Use lower dose due to impaired motor, cognitive performance and increased sensitivity (2.2, 5.6) Patients with hepatic impairment, mild to moderate COPD, impaired drug metabolism or hemodynamic responses, mild to moderate sleep apnea: Use with caution and monitor closely.",0
26501,43685-7,Serious and occasionally fatal hypersensitivity (anaphylactic) reactions have been reported in patients on penicillin therapy.,0
26502,43685-7,Serious anaphylactic reactions require immediate emergency treatment with epinephrine.,0
26503,43685-7,"Oxygen, intravenous steroids, and airway management, including intubation, should also be administered as indicated.",0
26504,43685-7,(5.1)Clostridium difficile associated diarrhea (ranging from mild diarrhea to fatal colitis): Evaluate if diarrhea occurs.,0
26505,43685-7,(5.2),0
26779,43685-7,• Hypersensitivity reactions may occur in patients who have exhibited hypersensitivity to other selective 5-HT3 receptor antagonists (5.1),0
27166,43685-7,Nephrogenic Systemic Fibrosis may result from administration of gadolinium-based contrast agents to certain patients (5.1).,0
27167,43685-7,"Hypersensitivity reactions, including anaphylactoid and/or anaphylactic reactions may result from VASOVIST administration.",0
27168,43685-7,"Assess patients for a history of allergic reactions to gadolinium-based contrast agents and monitor patients closely for need of emergency cardiorespiratory support (5.2)Gadolinium-based contrast agents, including VASOVIST may increase the risk for acute renal failure in patients with a history of renal insufficiency (5.3).QTc prolongation has been reported following VASOVIST administration.",0
27169,43685-7,Assess patients for a history of underlying conditions that may predispose to arrhythmias due to QTc prolongation (5.4).,0
27744,43685-7,"Severe bone marrow suppression, notably anemia, thrombocytopenia and neutropenia.",0
27745,43685-7,Monitor blood counts before and during treatment.,0
27746,43685-7,(5.2)Infections.,0
27747,43685-7,Monitor for signs or symptoms of infection.,0
27748,43685-7,(5.3)Tumor lysis syndrome.,0
27749,43685-7,Take precautions for patients at high risk.,0
27750,43685-7,(5.4)Transfusion-associated graft-versus-host disease.,0
27751,43685-7,Use only irradiated blood products for transfusions.,0
27752,43685-7,(5.6)Fludarabine phosphate dose should be adjusted in patients with mild to moderate (creatinine clearance 30 to 70 mL/min/1.73 m2) or severe (creatinine clearance < 30 mL/min/1.73 m2) renal impairment.,0
27753,43685-7,(5.7)Fetal harm may occur when administered to a pregnant woman.,0
27754,43685-7,Women of childbearing potential and fertile males must take contraceptive measures during and at least for 6 months after the cessation of therapy.,0
27755,43685-7,(5.9),0
30207,43685-7,Severe hepatic changes and hepatic failure have been observed rarely.,0
30208,43685-7,"Monitor serum transaminase levels prior to starting treatment with Bicalutamide Tablets, USP, at regular intervals for the first four months of treatment and periodically thereafter, and for symptoms or signs suggestive of hepatic dysfunction.",0
30209,43685-7,"Use Bicalutamide Tablets, USP with caution in patients with hepatic impairment.",0
30210,43685-7,"(5.1) Gynecomastia and breast pain have been reported during treatment with Bicalutamide Tablets, USP 150 mg when used as a single agent.",0
30211,43685-7,"(5.2) Bicalutamide Tablets, USP are used in combination with a LHRH agonist.",0
30212,43685-7,LHRH agonists have been shown to cause a reduction in glucose tolerance in males.,0
30213,43685-7,"Consideration should be given to monitoring blood glucose in patients receiving Bicalutamide Tablets, USP in combination with LHRH agonists.",0
30214,43685-7,(5.3) Monitoring Prostate Specific Antigen (PSA) is recommended.,0
30215,43685-7,Evaluate for clinical progression if PSA increases.,0
30529,43685-7,Need to evaluate for co-morbid diagnosis.,0
30530,43685-7,Reevaluate if insomnia persists after 7 to 10 days of use.,0
30531,43685-7,(5.1)Severe anaphylactic and anaphylactoid reactions: angioedema and anaphylaxis have been reported.,0
30533,43685-7,"(5.2)Abnormal thinking, behaviour changes and complex behaviors: May include ""sleep-driving"" and hallucinations.",0
30534,43685-7,Immediately evaluate any new onset behavioural changes.,0
30535,43685-7,"(5.3)Depression: Worsening of depression or, suicidal thinking may occur.",0
30536,43685-7,Prescribe the least amount feasible to avoid intentional overdose.,0
30537,43685-7,"(5.3, 5.6)Withdrawal effects: Symptoms may occur with rapid dose reduction or discontinuation.",0
30538,43685-7,"(5.4, 9.3)CNS depressant effects: Use can impair alertness and motor coordination.",0
30540,43685-7,Do not use with alcohol.,0
30541,43685-7,"(2.3, 5.5)Elderly/debilitated patients: Use lower dose due to impaired motor, cognitive performance after repeated exposure, and increased sensitivity.",0
30542,43685-7,"(2.2, 5.6)Patients with hepatic impairment, mild to moderate COPD, impaired drug metabolism or hemodynamic responses, mild to moderate sleep apnea: Use with caution and monitor closely.",0
31097,43685-7,"Concomitant Gastric Malignancy: Symptomatic response to therapy with omeprazole delayed-release capsules does not preclude the presence of gastric malignancy (5.1) Atrophic Gastritis: Has been observed in gastric corpus biopsies from patients treated long-term with omeprazole delayed-release capsules (5.2) Combination Use with Clarithromycin and/or Amoxicillin: Refer to full prescribing information for individual drugs when used in combination (5.3, 5.4)",0
33949,43685-7,Respiratory depression is the primary risk of codeine sulfate.,0
33950,43685-7,"Respiratory depression occurs more frequently in elderly or debilitated patients and in those suffering from conditions accompanied by hypoxia, hypercapnia, or upper airway obstruction, in whom even moderate therapeutic doses may significantly decrease pulmonary ventilation.",0
33951,43685-7,Codeine produces dose-related respiratory depression.,0
33952,43685-7,"Caution should be exercised when codeine sulfate is used postoperatively, in patients with pulmonary disease or shortness of breath, or whenever ventilatory function is depressed.",0
33953,43685-7,"Opioid related respiratory depression occurs more frequently in elderly or debilitated patients and in those suffering from conditions accompanied by hypoxia, hypercapnia, or upper airway obstruction, in whom even moderate therapeutic doses may significantly decrease pulmonary ventilation.",0
33954,43685-7,"Opioids, including codeine sulfate, should be used with extreme caution in patients with chronic obstructive pulmonary disease or cor pulmonale and in patients having a substantially decreased respiratory reserve (e.g., severe kyphoscoliosis), hypoxia, hypercapnia, or pre-existing respiratory depression.",0
33955,43685-7,"In such patients, even usual therapeutic doses of codeine sulfate may increase airway resistance and decrease respiratory drive to the point of apnea.",0
33956,43685-7,"Alternative non-opioid analgesics should be considered, and codeine sulfate should be employed only under careful medical supervision at the lowest effective dose in such patients.",0
33957,43685-7,[see 10 OVERDOSAGE],0
33958,43685-7,Codeine sulfate is an opioid agonist of the morphine-type and a Schedule II controlled substance.,0
33959,43685-7,Such drugs are sought by drug abusers and people with addiction disorders.,0
33960,43685-7,Diversion of Schedule II products is an act subject to criminal penalty.,0
33961,43685-7,"Codeine can be abused in a manner similar to other opioid agonists, legal or illicit.",0
33962,43685-7,"This should be considered when prescribing or dispensing codeine sulfate in situations where the physician or pharmacist is concerned about an increased risk of misuse, abuse, or diversion.",0
33963,43685-7,Misuse and abuse of codeine sulfate poses a significant risk to the abuser that could result in overdose and death.,0
33964,43685-7,"Codeine may be abused by crushing, chewing, snorting or injecting the product.",0
33965,43685-7,[see 9 DRUG ABUSE AND DEPENDENCE],0
33966,43685-7,Concerns about abuse and addiction should not prevent the proper management of pain.,0
33967,43685-7,Healthcare professionals should contact their State Professional Licensing Board or State Controlled Substances Authority for information on how to prevent and detect abuse or diversion of this product.,0
33968,43685-7,"Codeine sulfate may be expected to have additive effects when used in conjunction with alcohol, other opioids, or illicit drugs that cause central nervous system depression, because respiratory depression, hypotension, profound sedation, coma or death may result.",0
33969,43685-7,"Respiratory depressant effects of opioids and their capacity to elevate cerebrospinal fluid pressure resulting from vasodilation following CO2 retention may be markedly exaggerated in the presence of head injury, other intracranial lesions or a pre-existing increase in intracranial pressure.",0
33970,43685-7,"Furthermore, opioids including codeine sulfate, produce adverse reactions which may obscure the clinical course of patients with head injuries.",0
33971,43685-7,Codeine sulfate may cause severe hypotension in an individual whose ability to maintain blood pressure has already been compromised by a depleted blood volume or concurrent administration of drugs such as phenothiazines or general anesthetics.,0
33972,43685-7,Codeine sulfate may produce orthostatic hypotension and syncope in ambulatory patients.,0
33973,43685-7,"Codeine sulfate should be administered with caution to patients in circulatory shock, as vasodilation produced by the drug may further reduce cardiac output and blood pressure.",0
33974,43685-7,"Codeine sulfate should not be administered to patients with gastrointestinal obstruction, especially paralytic ileus because codeine sulfate diminishes propulsive peristaltic waves in the gastrointestinal tract and may prolong the obstruction.",0
33975,43685-7,"Chronic use of opioids, including codeine sulfate, may result in obstructive bowel disease especially in patients with underlying intestinal motility disorder.",0
33976,43685-7,Codeine sulfate may cause or aggravate constipation.,0
33977,43685-7,Administration of codeine sulfate may obscure the diagnosis or clinical course of patients with acute abdominal conditions.,0
33978,43685-7,"Codeine sulfate should be used in caution in patients with biliary tract disease, including acute pancreatitis, as codeine sulfate may cause spasm of the sphincter of Oddi and diminish biliary and pancreatic secretions.",0
33979,43685-7,"As with other opioids, codeine sulfate should be used with caution in elderly or debilitated patients and those with severe impairment of hepatic or renal function, hypothyrodism, Addison’s disease, prostatic hypertrophy or urethral stricture.",0
33980,43685-7,[see 8 USE IN SPECIFIC POPULATIONS] The usual precautions should be observed and the possibility of respiratory depression should be kept in mind.,0
33981,43685-7,"Caution should be exercised in the administration of codeine sulfate to patients with CNS depression, acute alcoholism, and delirium tremens.",0
33982,43685-7,"All opioids may aggravate convulsions in patients with convulsive disorders, and all opioids may induce or aggravate seizures in some clinical settings.",0
33983,43685-7,Some individuals may be ultra-rapid metabolizers due to a specific CYP2D6*2x2 genotype.,0
33984,43685-7,"These individuals convert codeine into its active metabolite, morphine, more rapidly and completely than other people.",0
33985,43685-7,This rapid conversion results in higher than expected serum morphine levels.,0
33986,43685-7,"Even at labeled dosage regimens, individuals who are ultra-rapid metabolizers may experience overdose symptoms such as extreme sleepiness, confusion, or shallow breathing.",0
33987,43685-7,"The prevalence of this CYP2D6 phenotype varies widely and has been estimated at 0.5 to 1% in Chinese and Japanese, 0.5 to 1% in Hispanics, 1 to 10% in Caucasians, 3% in African Americans, and 16 to 28% in North Africans, Ethiopians, and Arabs.",0
33988,43685-7,Data are not available for other ethnic groups.,0
33989,43685-7,"When physicians prescribe codeine-containing drugs, they should choose the lowest effective dose for the shortest period of time and inform their patients about these risks and the signs of morphine overdose.",0
33990,43685-7,[see 8 USE IN SPECIFIC POPULATIONS],0
33991,43685-7,Patients should be cautioned that codeine sulfate could impair the mental and/or physical abilities needed to perform potentially hazardous activities such as driving a car or operating machinery.,0
33992,43685-7,"Patients should also be cautioned about the potential combined effects of codeine sulfate with other CNS depressants, including opioids, phenothiazines, sedative/hypnotics, and alcohol.",0
33993,43685-7,[see 7 DRUG INTERACTIONS],0
38942,43685-7,Paradoxical bronchospasm may occur and should be treated immediately with alternative therapy.,0
38943,43685-7,(5.1) Need for more doses of VENTOLIN HFA than usual may be a sign of deterioration of asthma and requires reevaluation of treatment.,0
38944,43685-7,(5.2) Cardiovascular effects may occur with beta-adrenergic agonists use.,0
38945,43685-7,Consider discontinuation of VENTOLIN HFA if these effects occur.,0
38946,43685-7,Use with caution in patients with underlying cardiovascular disorders.,0
38947,43685-7,(5.4) Immediate hypersensitivity reactions may occur.,0
38948,43685-7,Discontinue VENTOLIN HFA if immediate hypersensitivity reactions occur.,0
40000,43685-7,"Serious and potentially fatal cardiovascular (CV) thrombotic events, myocardial infarction, and stroke.",0
40001,43685-7,"Patients with known CV disease/risk factors may be at greater risk (5.1, 14.7, 17.2).",0
40002,43685-7,"Serious gastrointestinal (GI) adverse events, which can be fatal.",0
40003,43685-7,"The risk is greater in patients with a prior history of ulcer disease or GI bleeding, and in patients at high risk for GI events, especially the elderly.",0
40004,43685-7,"CELEBREX should be used with caution in these patients (5.4, 8.5, 14.7, 17.3).",0
40005,43685-7,"Elevated liver enzymes and, rarely, severe hepatic reactions.",0
40006,43685-7,"Discontinue use of CELEBREX immediately if abnormal liver enzymes persist or worsen (5.5, 17.4).",0
40007,43685-7,New onset or worsening of hypertension.,0
40008,43685-7,"Blood pressure should be monitored closely during treatment with CELEBREX (5.2, 7.4, 17.2).",0
40009,43685-7,Fluid retention and edema.,0
40010,43685-7,"CELEBREX should be used with caution in patients with fluid retention or heart failure (5.3, 17.6).",0
40011,43685-7,Renal papillary necrosis and other renal injury with long term use.,0
40012,43685-7,"Use CELEBREX with caution in the elderly, those with impaired renal function, heart failure, liver dysfunction, and those taking diuretics, ACE-inhibitors, or angiotensin II antagonists (5.6, 7.4, 8.7, 17.6).",0
40013,43685-7,Anaphylactoid reactions.,0
40014,43685-7,"Do not use CELEBREX in patients with the aspirin triad (5.7, 10, 17.7).",0
40015,43685-7,"Serious skin adverse events such as exfoliative dermatitis, Stevens-Johnson syndrome (SJS), and toxic epidermal necrolysis (TEN), which can be fatal and can occur without warning even without known prior sulfa allergy.",0
40016,43685-7,"Discontinue CELEBREX at first appearance of rash or skin reactions (5.8, 17.5).",0
41364,43685-7,For in vitro diagnostic use only.,0
41365,43685-7,The Pranactin®-Citric drug solution is taken orally as part of the diagnostic procedure.,0
41366,43685-7,"Phenylketonurics: Contains Phenylalanine (one of the protein components of Aspartame), 84 mg per dosage unit.",0
41367,43685-7,"(For reference, 12 ounces of typical diet cola soft drinks contain approximately 80 mg of Phenylalanine.)",0
41368,43685-7,A negative result does not rule out the possibility of Helicobacter pylori infection.,0
41369,43685-7,False negative results do occur with this procedure.,0
41370,43685-7,"If clinical signs are suggestive of H. pylori infection, retest with a new sample or an alternate method.",0
41371,43685-7,"Antimicrobials, proton pump inhibitors, and bismuth preparations are known to suppress H. pylori.",0
41372,43685-7,Ingestion of these within two (2) weeks prior to performing the BreathTek™ UBT may give false negative results.,0
41373,43685-7,A false positive test may occur due to urease associated with other gastric spiral organisms observed in humans such as Helicobacter heilmannii.,0
41374,43685-7,Premature POST-DOSE breath collection time can lead to a false negative diagnosis for a patient with a marginally positive BreathTek™ UBT result.,0
41375,43685-7,"A false positive test could occur in patients who have achlorhydria.8 If particulate matter is visible in the reconstituted Pranactin®-Citric solution after thorough mixing, the solution should not be used.",0
41554,43685-7,"In the event of sensitization or severe local irritation from ALTABAX, usage should be discontinued, the ointment wiped off, and appropriate alternative therapy for the infection instituted [see Patient Counseling Information (17)].",0
41555,43685-7,"ALTABAX is not intended for ingestion or for oral, intranasal, ophthalmic, or intravaginal use.",0
41556,43685-7,ALTABAX has not been evaluated for use on mucosal surfaces [see Patient Counseling Information (17)].,0
41557,43685-7,The use of antibiotics may promote the selection of nonsusceptible organisms.,0
41558,43685-7,"Should superinfection occur during therapy, appropriate measures should be taken.",0
41559,43685-7,Prescribing ALTABAX in the absence of a proven or strongly suspected bacterial infection is unlikely to provide benefit to the patient and increases the risk of the development of drug-resistant bacteria.,0
42132,43685-7,WARNINGS,0
42133,43685-7,"In the presence of a high environmental temperature, heat prostration can occur with drug use (fever and heat stroke due to decreased sweating).",0
42134,43685-7,"If symptoms occur, the drug should be discontinued and supportive measures instituted.",0
42135,43685-7,"Diarrhea may be an early symptom of incomplete intestinal obstruction, especially in patients with ileostomy or colostomy.",0
42136,43685-7,"In this instance, treatment with this drug would be inappropriate and possibly harmful.",0
42137,43685-7,Dicyclomine hydrochloride may produce drowsiness or blurred vision.,0
42138,43685-7,"The patient should be warned not to engage in activities requiring mental alertness, such as operating a motor vehicle or other machinery or performing hazardous work while taking this drug.",0
42139,43685-7,Psychosis has been reported in sensitive individuals given anticholinergic drugs.,0
42140,43685-7,"CNS signs and symptoms include confusion, disorientation, short-term memory loss, hallucinations, dysarthria, ataxia, coma, euphoria, decreased anxiety, fatigue, insomnia, agitation and mannerisms, and inappropriate affect.",0
42141,43685-7,These CNS signs and symptoms usually resolve within 12 to 24 hours after discontinuation of the drug.,0
42142,43685-7,"There are reports that administration of dicyclomine hydrochloride syrup to infants has been followed by serious respiratory symptoms (dyspnea, shortness of breath, breathlessness, respiratory collapse, apnea, asphyxia), seizures, syncope, pulse rate fluctuations, muscular hypotonia, and coma.",0
42143,43685-7,Death has been reported.,0
42144,43685-7,No causal relationship between these effects observed in infants and dicyclomine administration has been established.,0
42145,43685-7,DICYCLOMINE IS CONTRAINDICATED IN INFANTS LESS THAN 6 MONTHS OF AGE AND IN NURSING MOTHERS.,0
42146,43685-7,(See CONTRAINDICATIONS and PRECAUTIONS : Nursing Mothers and Pediatric Use ).,0
42147,43685-7,Safety and efficacy of dicyclomine hydrochloride in pediatric patients have not been established.,0
42148,43685-7,PRECAUTIONS,0
42149,43685-7,General:,0
42150,43685-7,Use with caution in patients with:,0
42151,43685-7,Autonomic neuropathy Hepatic or renal disease Ulcerative colitis - large doses may suppress intestinal motility to the point of producing a paralytic ileus and the use of this drug may precipitate or aggravate the serious complication of toxic megacolon (see CONTRAINDICATIONS ) Hyperthyroidism Hypertension Coronary heart disease Congestive heart failure Cardiac tachyarrhythmia Hiatal hernia (see CONTRAINDICATIONS : Reflux esophagitis) Known or suspected prostatic hypertrophy.,0
42152,43685-7,"Investigate any tachycardia before administration of dicyclomine hydrochloride, since it may increase the heart rate.",0
42153,43685-7,"With overdosage, a curare-like action may occur (i.e., neuromuscular blockade leading to muscular weakness and possible paralysis).",0
42271,43685-7,5.1 Severe Anaphylactic and Anaphylactoid Reactions,0
42272,43685-7,5.2 Need to Evaluate for Co-morbid Diagnoses,0
42273,43685-7,The failure of insomnia to remit after,0
42274,43685-7,7 to 10 days,0
42275,43685-7,of treatment may indicate the presence of a primary psychiatric and/or medical illness that should be evaluated.,0
42276,43685-7,5.3 Abnormal Thinking and Behavioral Changes,0
42277,43685-7,5.4 CNS Effects,0
42278,43685-7,5.5 Reproductive Effects,0
42279,43685-7,Use in Adolescents and Children,0
42280,43685-7,[ see Clinical Trials (14.3)].,0
42281,43685-7,5.6 Use in Patients with Concomitant Illness,0
42282,43685-7,[see Use in Specific Populations (8.7)].,0
42283,43685-7,[see Clinical Pharmacology (12.4)].,0
42284,43685-7,5.7,0
42285,43685-7,Laboratory Tests,0
42286,43685-7,Monitoring,0
42287,43685-7,No standard monitoring is required.,0
42288,43685-7,"For patients presenting with unexplained amenorrhea, galactorrhea, decreased libido, or problems with fertility, assessment of prolactin levels and testosterone levels should be considered as appropriate.",0
42289,43685-7,Interference with laboratory tests,0
42290,43685-7,ROZEREM is not known to interfere with commonly used clinical laboratory tests.,0
42291,43685-7,"In addition, in vitro data indicate that ramelteon does not cause false-positive results for benzodiazepines, opiates, barbiturates, cocaine, cannabinoids, or amphetamines in two standard urine drug screening methods in vitro.",0
42773,43685-7,"There have been numerous cases of accidental and intentional overdose with propoxyphene products either alone or in combination with other CNS depressants, including alcohol.",0
42774,43685-7,Fatalities within the first hour of overdosage are not uncommon.,0
42775,43685-7,"Many of the propoxyphene-related deaths have occurred in patients with previous histories of emotional disturbances or suicidal ideation/attempts and/or concomitant administration of sedatives, tranquilizers, muscle relaxants, antidepressants, or other CNS-depressant drugs.",0
42776,43685-7,Do not prescribe propoxyphene for patients who are suicidal or have a history of suicidal ideation.,0
42777,43685-7,Respiratory depression is the chief hazard from all opioid agonist preparations.,0
42778,43685-7,"Respiratory depression occurs most frequently in elderly or debilitated patients, usually following large initial doses in non-tolerant patients, or when opioids are given in conjunction with other agents that depress respiration.",0
42779,43685-7,"Darvon-N should be used with extreme caution in patients with significant chronic obstructive pulmonary disease or cor pulmonale, and in patients having substantially decreased respiratory reserve, hypoxia, hypercapnia, or pre-existing respiratory depression.",0
42780,43685-7,"In such patients, even usual therapeutic doses of Darvon-N may decrease respiratory drive to the point of apnea.",0
42781,43685-7,"In these patients alternative non-opioid analgesics should be considered, and opioids should be employed only under careful medical supervision at the lowest effective dose.",0
42782,43685-7,"Darvon-N, like all opioid analgesics, may cause severe hypotension in an individual whose ability to maintain blood pressure has been compromised by a depleted blood volume, or after concurrent administration with drugs such as phenothiazines or other agents which compromise vasomotor tone.",0
42783,43685-7,Darvon-N may produce orthostatic hypotension in ambulatory patients.,0
42784,43685-7,"Darvon-N, like all opioid analgesics, should be administered with caution to patients in circulatory shock, since vasodilatation produced by the drug may further reduce cardiac output and blood pressure.",0
42785,43685-7,"The respiratory depressant effects of narcotics and their capacity to elevate cerebrospinal fluid pressure may be markedly exaggerated in the presence of head injury, other intracranial lesions or a pre-existing increase in intracranial pressure.",0
42786,43685-7,"Furthermore, narcotics produce adverse reactions which may obscure the clinical course of patients with head injuries.",0
42787,43685-7,"The concomitant use of propoxyphene and CNS depressants, including alcohol, can result in potentially serious adverse events including death.",0
42788,43685-7,"Because of its added depressant effects, propoxyphene should be prescribed with caution for those patients whose medical condition requires the concomitant administration of sedatives, tranquilizers, muscle relaxants, antidepressants, or other CNS-depressant drugs.",0
42789,43685-7,"Propoxyphene may impair the mental and/or physical abilities required for the performance of potentially hazardous tasks, such as driving a car or operating machinery.",0
42790,43685-7,The patient should be cautioned accordingly.,0
42791,43685-7,Patients should be cautioned about the concomitant use of propoxyphene products and alcohol because of potentially serious CNS-additive effects of these agents that can lead to death.,0
